Timestamp,unique-id,research-area,pressing-questions,pathways ,roadblocks
4/28/2021 1:55:19,bq001,"Nutrient Cycling, Pyrogenic Organic Matter, Soil Stability, Quality, Mineralogy, Pyrogenic Organic Matter Transport, Fluxes, Water Quality, Watershed Management","better understanding of the temporal scales of the different impacts as well as their potential interactions
movement of materials such as ash, pyrogenic carbon, eroded soil between compartments from hillslopes to the hydrological network as well as physical and biological alterations of those during the transport","finding common language because, many times, we do not assess the same parameters, work in very different temporal and spatial scales. ",common language as explained in Topic 1 and modelling efforts that are able to integrate all the knowledge adquired in the different subdisciplines 
4/28/2021 6:52:19,bq002,"Water Routing, Hillslope Hydrology, Surface Water – Groundwater Interactions, Hydrological Modeling","How are flow pathways affected by wildfires such as change of hydrological processes beyond vegetation removal?
How long do changes in hydrology and biogeochemistry last? including importance of forest disturbance history","This approach here, Bring the different communities together with all the known challenges. Identification what the different communities would need to know from other fields of research and adapting this to what can reasonably be made known","regional differences, different factors are of varying importance at differen sits. Scaling challenging, lack of good observation data, especially for larger scales"
4/28/2021 8:25:26,bq003,"Water Routing, Hillslope Hydrology, Hydrological Modeling","How important are deeper groundwater flowpaths for prolonging elevated nutrient yields in burned watersheds? The vast majority of post-wildfire studies on biogeochemical cycling have focused on surface or shallow flowpaths, yet post-fire geochemical tracers indicate elevated contributions from deeper bedrock flowpaths during some hydroclimatic conditions.
What is the role of hyporheic flow through wildfire-deposited or reworked sediments in stream beds for enhancing or buffering elevated constituent loading in streams? Wildfires alter streambed sediments through aggradation, incision, and stabilization phases controlled by links between hydroclimatic conditions and geomorphic processes. Despite the ubiquity of changes in streambed sediments, we know little about how these streambed changes and associated alteration of hyporheic flow changes biogeochemical cycling.","We need a long -term monitored field site, like a “Critical Zone Observatory”, specific to wildfire that incorporates co-located measurements from fire spread and burn severity assessments, vegetation recovery, biogeochemistry, soil processes, hydrologic states and fluxes, and geomorphic shifts. The importance of such long-term data in hydrologic problems has been eloquently made, but not specific to fire science.
We need a funded effort to build community integrated earth system models that link wildfire effects on vegetation, hydrology, geomorphology, and biogeochemistry at relevant spatial and temporal scales.



","We lack measurements across nested temporal and spatial scales sufficient to understand cross-scale interactions. For example in post-fire infiltration, there are many efforts at the plot scale  less than a few square m in the first year after fire but few efforts at larger scales or over years of recovery.
Funding of long-term data collection efforts is a major barrier to understanding of long term issues because most funding is directed towards immediate impacts of wildfire in the first 1-3 years.

"
4/29/2021 11:23:36,bq004,"Pyrogenic Organic Matter, Pyrogenic Organic Matter Transport, Fluxes, Biogeochemical Modeling, Sediment Transport","the fate of pyrogenic carbon, and the impact of pyrogenic carbon in the global carbon cycle with increased climate change ","conferences symposiums that cater to a broad group, large funding collaborations",methods. The biogeochemical community seems to argue back and forth about methods- and the greater fire community isn't interested.  The results seem lost in the endless conversation about methods and method development. Having metrics to talk about the same things would be helpful. 
4/30/2021 8:42:59,bq005,"Nutrient Cycling, Pyrogenic Organic Matter, Microbial Community Dynamics, Functional Diversity, Successional Dynamics, Ecological Resilience, Ecological Modeling","How are chemical products of wildfire transformed and transported across terrestrial to aquatic ecosystems?


How can we predict and mitigate ecosystem recovery from wildfire events?
","terrestrial-aquatic interface
Aquatic and terrestrial lines of investigation have historically proceeded in parallel. The terrestrial-aquatic interface is a hotspot of biogeochemical activity and central in understanding terrestrial and aquatic wildfire impacts.

","integration of chemical, successional, forestry, and hydrological understanding
IMO, we need to shift our thinking towards a watershed or ecosystem-scale approach, which can serve as a framework for integrating diverse links of research. This scale of thinking is integrated into some modelling and risk assessment approaches but generally does not infiltrate experimental research.
"
4/30/2021 16:29:31,bq006,"Nutrient Cycling, Water Quality, Surface Water – Groundwater Interactions","In the boreal forest of Alaska and western Canada, warming climate and increased drought on the landscape is leading to increasing fire frequency and intensity, and potential large-scale changes in the composition of the forest from black spruce dominated to deciduous dominated stands.  How will broad scale changes in vegetation composition affect soil carbon storage and carbon fluxes through watersheds?

Wildfires impact stream water chemistry through changes in transport of carbon and nitrogen from terrestrial to aquatic ecosystems.  What are the impacts of changing solute chemistry for stream biogeochemical functioning?
","Development of multiple modeling approaches that integrate burn behavior, impacts on vegetation and soil structure, watershed hydrology, and watershed exports ","Datasets tracking long-term change in terrestrial and especially aquatic ecosystems. 

In Alaska, where the road system is limited, access to recently burned sites"
5/3/2021 8:25:41,bq007,"Nutrient Cycling, Pyrogenic Organic Matter, Pyrogenic Organic Matter Transport, Fluxes, Sediment Transport","We need to identify and quantify the direct mechanisms responsible for the terrestrial to aquatic such as hill slope to riverine flux of PyC and pyrogenically altered nutrients. This mechanisms are likely a complex combination of processes including leaching, runoff, erosion, etc. 
We need to better describe how the interaction of environmental conditions and perturbations before and after fire dictates the long-term fate of PyC and biogeochemical cycling. For example, pre-burn conditions may dictate the quality and quantity of fuels available, which control the quantity and quality of PyC formed, and then post-burn precipitation such as timing, amount, intensity and hill slope hydrology impact its potential for erosional transport ","developing and utilizing compatible methodologies across subdisciplines 
integration of both conducting and presenting research across fire subdisciplines ","cost and access to shared methodologies
need for more long-term research projects 
need to bring subdisciplines together to resolve differences in terminology and to share results "
5/4/2021 10:28:01,bq008,"Nutrient Cycling, Microbial Community Dynamics, Biogeochemical Modeling, Water Quality, Surface Water – Groundwater Interactions, Contaminant Transport, Hydrological Modeling","What are the important interactions among wildfires, hyporheic exchange in river corridors, and biogeochemical processing of nutrients at watershed scales?  Justification: Up to 96% of river ecosystem respiration is associated with hyporheic exchange. This process is impacted by fires through changes in the form of organic matter for example PyOM; and changes in amount and type of other nutrients for example N,P; and changes in hydrologic processes that control hyporheic exchange such as erosion/sedimentation associated with wildfires.  These complex interactions have not been studied, but likely have strong controls over wildfire impacts on water quality and nutrient cycling.



What are the relationships between vegetation type, wildfire intensity, time since fires, and  the character of OM and other nutrients sourced to rivers?  Justification: As noted above, riverine nutrient cycling can be very important to watershed function, and changes in the character of OM and other nutrients delivered to rivers will be strongly impacted by wildfires. The character of PyOM likely exhibits chemical signatures related to the factors listed above and maybe others that in turn will impact rates of biogeochemical reactions in river systems, but systematic understanding of these relationships is lacking. 

","Numerical models of watersheds provide a potential framework within which understanding can be integrated and hypotheses can be formulated and tested. However, communication and coordination between modelers and experimentalists is often weak. Two-way model-data integration, the use of models to design experiments/observations, and use of experimental/observational data to refine and update models, is essential.

","Multiscale process interactions: Molecular-scale processes fundementally control reaction pathways and rates, but their impacts are manifested at ecosystem scales.  Connecting these quantitatively and in a generalized, transferable manner is extremely difficult.
High variability in fire impacts on watersheds presents challenges to consistent model representation. There is need for spatially and temporally distributed measurements and for explicit representations of disturbances in process-based models.

"
5/4/2021 10:34:54,bq009,"Nutrient Cycling, Microbial Community Dynamics, Successional Dynamics, Ecological Resilience","It is unclear if fungi can be leveraged to improve post-fire regeneration with respect to watersheds in particular in improving soil hydrophobicity, increasing soil aggregation, and detoxifying toxic compounds and PAHs released by fire.","Providing more money and larger grants. It is difficult to integrate across disciplines because more people means larger grants are needed, and even $1M goes really fast with just a couple people given personnel costs. Hosting more interdisciplinary fire focused work shops. I learned a lot at at fire science workshop hosted at UC SB that had people from across disciplines are interested in wildfires.","Lack of funds to do research, high competition for limited funds, the pace and size of wildfires - it is very hard to keep up when every week in California there is another burn. In 2020, nearly 4 million acres burned in California alone. Who can keep up?"
5/4/2021 11:08:34,bq010,"Pyrogenic Organic Matter, Pyrogenic Organic Matter Transport, Fluxes, Pyrogenic Organic Matter Method Development, Surface Water – Groundwater Interactions","How do wildfires impact terrestrial to aquatic carbon fluxes and alter terrestrial net ecosystem carbon balances? What are the short and long term impacts?

Can we better link remote sensing data with ecosystem response post fire to allow better predictive modeling of fire impacts on biogeochemical cycles at large scales?","Utilizing existing monitoring programs is one of the most important steps toward integrating fire science across disciplines. This will open doors to new collaborations that encourage new scientific efforts while also streamlining unnecessary repeating efforts within the community.  

A definition of fire science that is inclusive across disciplines that encourages contributions and integrations of the broader research community, policy makers such as land management, fire restoration strategies, the general public and indigenous communities should be encouraged as we seek sustainable solutions to coexist with fire in a changing climate","Long-term monitoring or fire impacted areas rarely extend beyond a few years. This may be in part due to accessibility or funding. Collaboration with open data agencies, such as NEON, or long-term monitoring programs may be a best path forward to over come this challenge.  

Accurate characterization of pyrogenic material remains a challenge but is critical to gain insights into the source and reactivity of material in post-fire landscapes. Accurate characterization will allow better predictability of post-fire impacts in ESMs and implications for downstream aquatic/coastal communities"
